id,reasoning,brand,car_model,imputed_year,imputed_mileage_km,imputed_condition,battery_status,is_accident_free,has_aftermarket_mods,vehicle_type
304,"THĂNG LONG CAR, pin mới CATL mua pin",VinFast,VF8 Eco,2023.0,20000.0,Đã qua sử dụng,Mua pin,True,False,
305,". Thời gạc sạc pin lên tới 70% trong chỉ 30 phút | . Khoảng sáng gầm tới 191 mm, xe nhỏ gọn thuận lợi di chuyển trong đô thị | . Đa dạng lựa chọn 9 màu ngoại thất",VinFast,VF3 Plus,2026.0,0.0,Mới 100%,Mua pin,,True,
306,"- Bảo hiểm, bảo dưỡng, cam ke̊̂t mọi tie̲̅u chuả̳n vè̲ xe. - Quý kha̓̂ch hâ̕ng an tā̤m, lie̲̅n hệ: - Ho̊̃ trợ mő̂i thủ̥ tǔ̦c trü̧o̓c, trong và sau bán. - Ho̊̃ trợ tra̳̅p lā̲i sua̳̅t ṳ̂u đả̱i. - Ǔ̥u đä̵i cű̧c to̪̓t ĐO̊̉I XĂNG SANG ĐIE̲̍N: Gia̳̅m 70 triệu. - Tā̤ng Bâ̕o hië̂m tha̧̋n vo̡̊, quý đổi BHTV và quà tặng theo chính sách của GF",,,,,,,,False,
307,"ko có xe xăng đổi lấy xe này cực kỳ hợp lý! đi 36.000km đẹp xuất sắc! ko đâm đụng, ngập nước!",VinFast,VF8 Eco,2022.0,36000.0,Đã qua sử dụng,Mua pin,True,False,
308,Tặng 2 năm BHTV với biển trắng và 12 triệu tiền mặt,VinFast,VF5 Plus,2025.0,0.0,Mới 100%,Mua pin,,False,
309,"- Xe trang bị full option cao cấp theo nhà sx
- Xe bảo dưỡng định kỳ Full lịch sử hãng
- Chúng tôi cam kết bằng văn bản xe không lỗi",VinFast,VF3 Plus,2025.0,0.0,Mới 100%,,,True,
310,"trải nghiệm vf 8 lướt - chuẩn green future, kiểm định 139 bước nghiêm ngặt",VinFast,VF8 S,2024.0,0.0,Mới 100%,,,True,
311,"độc đáo và đầy uy quyền, lưới tản nhiệt Black Panel, mâm hợp kim kích thước lớn 22 inch, tay nắm cửa ẩn, hệ thống đèn chào mừng, nội thất chất liệu da Nappa Maybach cao cấp, ghế hành khách phía trước có thể chỉnh từ xa, hệ thống giải trí MBUX Hyperscreen",Mercedes-Benz,EQS 680 SUV,2024.0,0.0,Mới 100%,,,True,
312,Nhận xe Chỉ với 45Triệu | Sẵn xe GIAO NGAY Đa dạng lựa chọn 9 màu ngoại thất | Hỗ trợ trả góp 85% giá trị xe | FREE sạc tới 2027,VinFast,VF3 Plus,2025.0,0.0,Mới 100%,Mua pin,,False,
313,sản xuất 2025 | odo 7000km,VinFast,VF6 Plus,2025.0,7000.0,Đã qua sử dụng,,,True,
314,". Thời gạc sạc pin lên tới 70% trong chỉ 30 phút | . Khoảng sáng gầm tới 191 mm, xe nhỏ gọn thuận lợi di chuyển trong đô thị | . Đa dạng lựa chọn 9 màu ngoại thất",VinFast,VF3 Plus,2026.0,0.0,Mới 100%,Mua pin,,True,
315,VF8 Eco Pin CATL | Màu đen | Odo : 37.000 km | Đã qua kiểm tra 139 bước Theo tiêu chuẩn GF,VinFast,VF8 Eco AWD,2023.0,37000.0,Đã qua sử dụng,Mua pin,True,False,
316,Chào bán: VF3 2024 Thuê Pin độ tâm huyết của chị Chủ ! Gần 70T phụ kiện,VinFast,VF3 Plus,2025.0,,Đã qua sử dụng,Thuê pin,,True,
317,"xuất hiện ngoại hình nhỏ gọn, kích thước, trọng lượng không tải, dung lượng pin, công suất động cơ, mô men xoắn, thời gian tăng tốc",VinFast,VF5 Plus,2026.0,0.0,Mới 100%,Mua pin,,False,
318,"dán kính, thảm sàn, mâm đúc kèm lốp to, apple carplay, gia cố càng A, ghế da, nước hoa, cam lùi kèm cam hành trình utour, đèn led siêu sáng",VinFast,VF3 Plus,2024.0,8000.0,Đã qua sử dụng,,,True,
319,VF8 Eco Pin SDI 2023 | Màu Trắng | không đâm đụng | không ngập nước,VinFast,VF8 Eco AWD,2023.0,42000.0,Đã qua sử dụng,,True,False,
320,"bản mua đứt pin, đã mua bảo hiểm thân vỏ đầy đủ gần 10t, đã được vào rất nhiều đồ chính hãng",VinFast,VF5 Plus,2025.0,,Đã qua sử dụng,Mua pin,,True,
321,Đổi xe xăng sang xe điện giảm trực tiếp tiền mặt lên đến 5tr,VinFast,VF3 Plus,2025.0,,Đã qua sử dụng,Mua pin,,False,
322,"tư nhân một chủ đi từ mới,zin chất tuyệt đối ko lỗi nhỏ",VinFast,VF6 S,2024.0,0.0,Mới 100%,Mua pin,True,False,
323,"tư nhân một chủ sử dụng từ mới,đăng ký lăn bánh tháng 12/2024",VinFast,VF6 S,2024.0,0.0,Mới 100%,,,False,
324,"LIMO GREEN | không gian rộng rãi, tăng kết nối cả gia đình",VinFast,Limo Green,2025.0,0.0,Mới 100%,Mua pin,,True,
325,"siêu phẩm 7 chỗ - gia đình đã tốt, dịch vụ cực phẩm",VinFast,Limo Green,2025.0,0.0,Mới 100%,,,True,
326,"xuất hiện ngoại hình nhỏ gọn, kích thước, trọng lượng không tải, dung lượng pin, công suất động cơ, mô men xoắn, thời gian tăng tốc",VinFast,VF5 Plus,2026.0,0.0,Mới 100%,Mua pin,,False,
327,"Nhập khẩu Đức nguyên chiếc, đăng ký và sản xuất năm 2023",Porsche,Taycan,2023.0,6200.0,Đã qua sử dụng,,,True,
328,"THĂNG LONG CAR - THẾ GIỚI XE VINFAST LƯỚT xin kính chào quý khách hàng ! | Chúng tôi xin trân trọng giới thiệu đến quý khách hàng mẫu xe. | -Hãng xe: vinfast - xe vf8 pin CATl | -Phiên bản : bản eco | -Màu xe : Ngoại thất màu xanh - đen | - Số km: 5v- Năm sx :2023 -2 cầu | - Sổ bảo hành:Bảo hành bảo dưỡng chính hãng full ls bảo dưỡng hãng kèm theo. | -Cam kết chất lượng bằng văn bản có giá trị pháp lý: | • Xe không đâm đụng ảnh hưởng khung gầm sắt xi. | • Xe không ngập nước, thủy kích. | • Xe không tháo cẩu máy, bổ máy. | • Hồ sơ pháp lý rõ ràng và đầy đủ, đủ điều kiện sang tên đổi biển | • Xe không phạt nguội. | -Quyền lợi khi mua xe tại Thăng Long Car: | 1. Bảo hành động cơ hộp số 10 năm hoặc 200.000 ( 20v km theo chính hãng) theo nhà sản xuất",VinFast,VF8 Eco,2023.0,0.0,Mới 100%,Mua pin,True,False,
329,"sản xuất 2025, chạy 5km",VinFast,VF3 Plus,2025.0,0.0,Mới 100%,,,False,
330,thuần điện | Tặng sạc đi động và lắp đặt sạc tại nhà miễn phí,MINI,Cooper S 3 Door,2025.0,0.0,Mới 100%,Mua pin,,False,
331,"xuất 2024, màu đỏ nội thất đen, lăn bánh 4000 km",Mercedes Benz,EQS 450+,2023.0,4000.0,Đã qua sử dụng,,True,False,
332,giao NGAY - BÁN TOÀN QUỐC | + Tặng sạc miễn phí đến 30/6/2027 | + Miễn 100% lệ phí trước bạ | + Cam Kết Hỗ Trợ Dịch Vụ Chất Lượng Sau Bán Hàng,VinFast,VF3 Plus,2026.0,0.0,Mới 100%,,,False,
333,"trang bị động cơ 100kw, pin dung lượng 59,6 kWh, quãng đường di chuyển tối đa 399 km",VinFast,VF6 Eco,2026.0,0.0,Mới 100%,Mua pin,,False,
334,mới new 2025,VinFast,VF3 Plus,2025.0,0.0,Mới 100%,Mua pin,,False,
335,"tư nhân 1 chủ, odo 10 vạn, full lịch sử",VinFast,VF5 Plus,2024.0,100000.0,Đã qua sử dụng,Mua pin,,False,
336,"siêu hot vf3 | thời gian sạc pin lên tới 70% trong chỉ 30 phút | nội thất rộng rãi cho 4 người, màn hình cảm ứng 10 inch | khoảng sáng gầm tới 191 mm, xe nhỏ gọn thuận lợi di chuyển trong đô thị | đa dạng lựa chọn 9 màu ngoại thất",VinFast,VF3 Plus,2026.0,0.0,Mới 100%,,,True,
337,SIÊU PHẨM LIMO GREEN – CHÍNH THỨC CẬP BẾN,VinFast,Limo Green AT,2025.0,0.0,Mới 100%,Thu cũ đổi mới or Miễn 100% lệ phí trước bạ,,False,
338,"áp full chính sách, chỉ khoảng 159tr nhận xe, ưu đãi giảm thêm 4%, hỗ trợ đổi xe xăng sang điện giảm thêm 50tr, miễn 100% thuế trước bạ, miễn phí sạc pin 2 năm",VinFast,VF7 Plus,2025.0,0.0,Mới 100%,Mua pin,,True,
339,giao NGAY - BÁN TOÀN QUỐC | + Tặng sạc miễn phí lên đến 3 năm | + Miễn 100% lệ phí trước bạ,VinFast,VF6 Eco,2026.0,0.0,Mới 100%,,,False,
340,GIÁ CỰC NGON NHẤT THỜI ĐIỂM NÀY! | đã trừ toàn bộ ưu đãi đổi từ xe xăng sang xe điện | đã áp dụng toàn bộ khuyến mãi tháng này,VinFast,VF8 Plus AWD,2023.0,,Đã qua sử dụng,Mua pin,,True,
341,"GIảm ngay 4% giá xe khi kí hợp đồng, giảm 100 triệu tiền mặt, tặng voucher Vinpearl, hỗ trợ lãi suất 2%, miễn phí sạc đến hết T06/2027",VinFast,VF9 Plus,2025.0,0.0,Mới 100%,Mua pin,,False,
342,- Chào bán : VF5 Xanh lá sản xuất 2024 bản mua đứt pin .,VinFast,VF5 Plus,2024.0,1000.0,Đã qua sử dụng,Mua pin,,True,
343,sx 2024 bản mua pin- 1 chủ từ đầu odo 14v- biển trắng ko chạy grab,VinFast,VF5 Plus,2024.0,0.0,Mới 100%,Mua pin,False,True,
344,"sở hữu vẻ ngoài khá bắt mắt với những đường nét vuông vắn, cá tính",VinFast,VF6 Plus,2026.0,0.0,Mới 100%,,,True,
345,"độc lập liên kết đa điểm, hệ thông treo phụ thuộc, đầm chắc và ổn định, động cơ 100kw, sức kéo đạt 135Nm, trọng lượng nhẹ hơn",VinFast,VF6 Eco,2026.0,0.0,Mới 100%,Mua pin,,False,
346,xanh đen pin sdi đã mua đứt pin,VinFast,VF8 Eco,2023.0,52000.0,Đã qua sử dụng,Mua pin,,False,
347,TRẢ TRƯỚC CHỈ TỪ 69 TRIỆU LÀ CHÌA KHOÁ TRAO TAY | HỖ TRỢ VAY LÊN ĐẾN 90% GIÁ TRỊ XE | MIỄN THUẾ PHÁT TRIEN 100%,VinFast,VF6,2025.0,0.0,Mới 100%,,,False,
348,odo 2 vạn 5,VinFast,VF8 Plus AWD,2025.0,25000.0,Đã qua sử dụng,,,False,
349,"- Bảo hiểm, bảo dưỡng, cam ke̊̂t mọi tie̲̅u chuả̳n vè̲ xe. - Quý kha̓̂ch hā̕ng an tâ̤m",VinFast,VF8 Plus AWD,2023.0,40000.0,Đã qua sử dụng,,False,False,
350,"odo 4v km, kiểm định nghiêm ngặt, ngoại thất như mới, vận hành êm ái",VinFast,VF8 Plus AWD,2023.0,40000.0,Đã qua sử dụng,,False,True,
351,"đầm chắc và ổn định khi xe di chuyển qua các ổ gà hay đoạn đường mấp mô, trọng lượng nhẹ hơn",VinFast,VF6 Eco,2025.0,0.0,Mới 100%,Mua pin,,False,
352,". Thời gạc sạc pin lên tới 70% trong chỉ 30 phút | . Khoảng sáng gầm tới 191 mm, xe nhỏ gọn thuận lợi di chuyển trong đô thị | . Đa dạng lựa chọn 9 màu ngoại thất",VinFast,VF3 Plus,2026.0,0.0,Mới 100%,Mua pin,,True,
353,Đổi xe xăng sang xe điện giảm trực tiếp tiền mặt,VinFast,VF8 Plus AWD,2023.0,19000.0,Đã qua sử dụng,Mua pin,,False,
354,"tiết kiệm ngay 40 triệu, trả trước 157 triệu, hỗ trợ vay ngân hàng lãi suất thấp lên đến 80%",,M6 Standard,2025.0,0.0,Mới 100%,"Trạm sạc tại nhà : 7 Kwh | Bộ sạc di động : 2,2 Kwh | Bộ V2L : Lấy điện từ xe ra sử dụng như dã ngoại, cắm trại,...",,True,
355,cảm ứng 15.6 thay thế nút bấm vật lý vô lăng D-cut bọc da tích hợp nhiều phím chức năng,VinFast,VF8 Eco AWD,2023.0,0.0,Mới 100%,,,True,
356,E34 Xanh rêu 2022 | Đi rất ít,VinFast,VF e34,2022.0,3500.0,Đã qua sử dụng,Thuê pin,,False,
357,Nhận xe Chỉ với 100 TRIỆU | Sẵn xe GIAO NGAY | Hỗ trợ trả góp 80% giá trị xe,VinFast,VF5 Plus,2025.0,0.0,Mới 100%,Mua pin,,True,
358,#Vinfast_VF8 + Kèm Pin | SẴN XE SẴN MÀU GIAO NGAY | Hỗ trợ vay lên tới 80% | Hỗ trợ chứng minh thu nhập - bao hồ sơ khó | Hỗ trợ giao xe tận nhà,VinFast,VF8 Plus AWD,2025.0,0.0,Mới 100%,Mua pin,,False,
359,"sản xuất 2025, chạy 5km",VinFast,VF3 Plus,2025.0,0.0,Mới 100%,,,False,
360,sẵn xe giao ngay,VinFast,Limo Green AT,2025.0,0.0,Mới 100%,,,False,
361,"siêu phẩm, mới 9km, chưa đăng ký, chưa sử dụng",VinFast,VF8 Eco AWD,2024.0,0.0,Mới 100%,,True,False,
362,"đầm chắc và ổn định khi xe di chuyển qua các ổ gà hay đoạn đường mấp mô, trọng lượng nhẹ hơn",VinFast,VF6 Eco,2026.0,0.0,Mới 100%,Mua pin,,False,
363,"cam kết không đâm đụng, không ngập nước, bao check hãng toàn quốc. - hỗ trợ sang tên đổi chủ, thủ tục giấy tờ pháp lý rõ ràng. - chế độ bảo hành hậu mãi",VinFast,VF8 S,2024.0,15300.0,Đã qua sử dụng,,True,False,
364,"nhận xe, giao ngay, hỗ trợ trả góp, sạc tới 2027, thuế trước bạ 0 đồng",VinFast,VF5 Plus,2025.0,0.0,Mới 100%,Mua pin,,False,
365,"mua pin, chưa qua sử dụng - mới 99.99%, đăng ký biển Hà Nội",VinFast,VF3 Plus,2025.0,0.0,Mới 100%,Mua pin,False,True,
366,VF8 Plus Pin CATL 2023 | Màu Trắng | Odo : 49.000 km,VinFast,VF8 Plus AWD,2023.0,49000.0,Đã qua sử dụng,Mua pin,True,False,
367,"mua pin, giảm tiền, hỗ trợ trả góp, chuẩn odometer, nguyên zin, không đâm đụng, không thủy kích",VinFast,VF8 Eco,2023.0,54000.0,Đã qua sử dụng,Mua pin,True,False,
368,"xuất hiện ngoại hình nhỏ gọn, kích thước, trọng lượng không tải, dung lượng pin, công suất động cơ, mô men xoắn, thời gian tăng tốc",VinFast,VF5 Plus,2026.0,0.0,Mới 100%,Mua pin,,False,
369,- Hỗ trợ bank 24/24,VinFast,VF5 Plus,2024.0,20000.0,Đã qua sử dụng,Mua pin,,False,
370,Pin mua | Xe đi chỉ 40.000km | Năm sx 2025,VinFast,VF5 Plus,2025.0,40000.0,Đã qua sử dụng,Mua pin,True,False,
371,- Xe gia đình đi chỉ 33000km - Xe sx : 2024,VinFast,VF6 Plus,2024.0,33000.0,Đã qua sử dụng,Mua pin,True,False,
372,Pin mua | Xe đi đi gia đình chỉ 25000km | Có giảm lộc | Có trả góp qua bank,VinFast,VF6 Plus,2024.0,25000.0,Đã qua sử dụng,Mua pin,True,False,
373,"gần mới 100%, đi ít, đầy lịch sử bảo dưỡng",VinFast,VF9 Plus,2023.0,30000.0,Đã qua sử dụng,,True,False,
374,"GIÁ CUỐI THÁNG, TẶNG FULL GÓI PHỤ KIỆN, MIỄN PHÍ BẢO HÀNH",,VF6,,0.0,Mới 100%,,,True,
375,Xe mới về | Mới 100% Mua Pin SX 2025,VinFast,VF3 Plus,2025.0,0.0,Mới 100%,Mua pin,,True,
376,E34 Xanh rêu/ đen | Odo: 6v km,VinFast,VF e34,2022.0,6000.0,Đã qua sử dụng,,,False,
377,"sản xuất 2025, chạy 5km",VinFast,VF3 Plus,2025.0,0.0,Mới 100%,,,True,
378,"Sản xuất 2025, chạy hơn 3v KM",VinFast,VF9 Plus,2025.0,30000.0,Đã qua sử dụng,Thuê pin,True,False,
379,"sản xuất 2025, chạy 5km",VinFast,VF3 Plus,2025.0,0.0,Mới 100%,,,False,
380,"màu xám sang trọng, form xe cực đẹp, chạy chuẩn 5 vạn km",VinFast,VF8 Plus AWD,2023.0,50000.0,Đã qua sử dụng,,True,False,
381,Ưu đãi giám giá 120 triệu + bảo hiểm thân vỏ • Giảm 70 triệu khi đổi xăng sang điện • Tặng 50 triệu tiền mặt,,VF8 Eco AWD,2023.0,0.0,Mới 100%,,True,False,
382,Xe điện mới 100%,,,,0.0,Mới 100%,Mua pin,,True,
383,chào bán: VF3 Vàng sản xuất 2024 | Đã trang bị hơn 80T tiền phụ kiện,VinFast,VF3 Plus,2024.0,0.0,Mới 100%,,,True,
384,"Lên Xe Limogreen , chạy lướt, sơn Zin 100% , Nội thất trong xe còn thơm mùi xe mới",VinFast,VF6 Eco,2025.0,13000.0,Đã qua sử dụng,,True,False,
385,"đầm chắc và ổn định khi xe di chuyển qua các ổ gà hay đoạn đường mấp mô, trọng lượng nhẹ hơn",VinFast,VF6 Eco,2026.0,0.0,Mới 100%,Mua pin,,False,
386,"bao hành, bảo dưỡng, cam kết mới, chuyển các dòng GF VF8",,VF8 Eco,2023.0,35000.0,Đã qua sử dụng,,,False,
387,vận chuyển thuê pin sx 2025 chạy 7.000km như mới,VinFast,VF3 Plus,2025.0,7000.0,Đã qua sử dụng,Thuê pin,,False,
388,mua xe lướt là những người tiêu dùng thông thái,VinFast,VF8 Plus AWD,2023.0,,Đã qua sử dụng,,,False,
389,"giảm 20tr tiền mặt, tặng 1 năm bảo hiểm, chuyển đổi xe xăng sang xe điện giảm 70tr",VinFast,VF8 Plus AWD,2023.0,0.0,Mới 100%,Mua pin,,True,
390,"xuất hiện ngoại hình nhỏ gọn, kích thước, trọng lượng không tải, dung lượng pin, công suất động cơ, mô men xoắn, thời gian tăng tốc",VinFast,VF5 Plus,2026.0,0.0,Mới 100%,Mua pin,,False,
391,"di chuyển linh hoạt trong nội đô, thiết kế nhỏ gọn, dễ dàng luồn lách trong phố đông, đỗ xe “chuẩn từng milimet”, quãng đường lên đến 170km/lần sạc, cắm sạc buổi tối, sáng dậy có ngay “full pin”",,Xiaoma,2026.0,0.0,Mới 100%,Mua pin,,False,
392,"Xe mới về | - VF3 Xanh Mới Mua Pin, đã gia cố càng A",VinFast,VF3 Plus,2025.0,0.0,Mới 100%,Mua pin,,True,
393,"tân trang, zin full, lịch sử hãng",VinFast,VF e34,2022.0,60000.0,Đã qua sử dụng,,,True,
394,"GIảm 4% Mãnh Liệt Tinh Thần Việt Nam, Xăng qua điện giảm 15tr, tặng 15tr ví vinclub, hỗ trợ vay đến 90%, miễn phí sạc 30/6/2027",,VF6 Eco,,0.0,Mới 100%,,,True,
395,"- Giảm ngay 4% Giá Trị Xe 
- Giảm 15TR Đổi Xe Xăng Sang Điện 
- TẶNG 7,5TR VPoint ra biển HN 
- Hỗ trợ Trả Góp Tối đa 90% Giá trị xe ls ưu đãi từ 6%",VinFast,Limo Green AT,2025.0,0.0,Mới 100%,,,True,
396,"có trần kính toàn cảnh, có hệ thống điều hòa 3 vùng độc lập",VinFast,VF9 Plus,2025.0,0.0,Mới 100%,,,True,
397,"-Chaof bán: VF3 Xám lướt 6000km , thuê pin vin 2024",VinFast,VF3 Plus,2024.0,6000.0,Đã qua sử dụng,Thuê pin,,True,
398,"bán ra thị trường Việt Nam một phiên bản, bảo hành 3 năm và không giới hạn km, tặng voucher sạc miễn phí 2 năm đầu tiên",Audi,Q6 e-tron,2025.0,0.0,Mới 100%,Mua pin,,False,
399,"Miễn phí 100% phí trước bạ, Gói quà tặng 15 triệu đồng, Hỗ trợ vay 80%",VinFast,VF5 Plus,,0.0,Mới 100%,,,True,
400,"chào bán : | Gần 60tr Phụ kiện : | + Film cách nhiệt loại xịn 8Tr | + Ghế da Napa full 4 ghế mềm như e bé 8Tr | + Camera lùi chính hãng 3,5Tr | + Dán tem Labubu 1Tr | + Thảm sàn 6D 2Tr | + Đăng kiểm 3 năm | + Loa sub, loa tress cánh, gầm ghế 25Tr | + Độ chống ồn xe, đã gia cố càng A, ốp lazang, … và nhiều đồ chơi khác…vv",VinFast,VF3 Plus,2024.0,0.0,Mới 100%,Thuê pin,,True,
401,"điện đàng cá̂p, dẫn đàng xu hướng! | cong nghệ pin blade tiên tiến - an toàn, bè̉n bỉ! | tặng tốc mạnh mẽ, cam giác lái mượt mà! | thiết kế hiện đại, noi thất sang trọng!",,,,,,,,False,
402,"sản xuất 2025 odo 7000km thuê pin 900k đã lên dán kính , thảm sàn",VinFast,VF3 Plus,2025.0,7000.0,Đã qua sử dụng,Thuê pin,,True,
403,"- Tặng 2 năm bảo hiểm thân vỏ hoặc quy đổi 6,5tr triệu",VinFast,VF3 Plus,2026.0,0.0,Mới 100%,Mua pin,,True,
404,Tặng 2 năm BHTV với biển trắng và 12 triệu tiền mặt,VinFast,VF5 Plus,2025.0,0.0,Mới 100%,Mua pin,,False,
405,Pin SDI | Đỏ | Nội thất xanh độc bản,VinFast,VF8 Plus AWD,2023.0,54000.0,Đã qua sử dụng,Mua pin,True,True,
406,hệ thống an toàn & Smart Service hàng đầu,VinFast,VF5 S,2024.0,0.0,Mới 100%,,,True,
407,chuyển trả trước chỉ từ 75 triệu là chìa khóa tay | ưu đãi gói phụ kiện chính hãng cao cấp | hỗ trợ vay lên đến 90% giá trị xe | hỗ trợ lãi suất 3% trong 3 năm,VinFast,Limo Green,2025.0,0.0,Mới 100%,,,True,
408,"sản xuất 2022 | Xe 7v km zin lốp theo xe , full lịch sử hãng sơn zin 90% đẹp xuất sắc",VinFast,VF e34,2022.0,7000.0,Đã qua sử dụng,,False,True,
409,"VINFATS VF3 - ÔNG HOÀNG ĐÔ THỊ, giá chỉ ngang xe máy SH, bảo vệ sức khỏe khỏi ô nhiễm khói bụi",,VF3 Plus,2025.0,0.0,Mới 100%,Mua pin,,False,
410,mới 100%,VinFast,Limo Green AT,2025.0,0.0,Mới 100%,Mua pin,,False,
411,"BÀY SHOWROOM, GIAO NGAY, FULL KHUYẾN MẠI",VinFast,VF5 Plus,2025.0,0.0,Mới 100%,,,True,
412,"xuất hiện ngoại hình nhỏ gọn, kích thước, trọng lượng không tải, dung lượng pin, công suất động cơ, mô men xoắn, thời gian tăng tốc",VinFast,VF5 Plus,2026.0,0.0,Mới 100%,Mua pin,,False,
413,"mua pin, máy móc khung gầm nguyên bản pin đẹp",VinFast,VF8 Plus AWD,2023.0,33000.0,Đã qua sử dụng,Mua pin,,True,
414,"NỘI THẤT VF 6 HIỆN ĐẠI, PHÓNG KHOÁNG",,VF6 Plus,,0.0,Mới 100%,,,False,
415,"chạy 5.5 vạn, rất mới, cam kết xe xịn 100% chính hãng",VinFast,VF8 Eco AWD,2023.0,55000.0,Đã qua sử dụng,,True,False,
416,"mua pin, chưa qua sử dụng - mới 99.99%, đăng ký biển Hà Nội",VinFast,VF3 Plus,2025.0,0.0,Mới 100%,Mua pin,False,True,
417,"hàng mới về, vf8 plus tráng nội thất kem 2023 chạy hơn 4v km máy số keo chỉ zin",VinFast,VF8 Plus AWD,2023.0,4000.0,Đã qua sử dụng,,,True,
418,"#Vinfast_VF8 + Kèm Pin | SẴN XE SẴN MÀU GIAO NGAY | Hỗ trợ lái thử tận nhà, giao xe trên toàn quốc. | Hỗ trợ vay lên tới 80% | Hỗ trợ chứng minh thu nhập - bao hồ sơ khó",VinFast,VF8 Plus AWD,2025.0,0.0,Mới 100%,Mua pin,,False,
419,Odo: 33.000km,,VF8 Plus AWD,2023.0,33000.0,Đã qua sử dụng,,,False,
420,"xuất hiện ngoại hình nhỏ gọn, kích thước, trọng lượng không tải, dung lượng pin, công suất động cơ, mô men xoắn, thời gian tăng tốc",VinFast,VF5 Plus,2026.0,0.0,Mới 100%,Mua pin,,False,
421,"chuẩn bị, trắng, như mới, dán phim xịn, thảm sàn, không đâm đụng, ngập nước",VinFast,VF6 Plus,2025.0,0.0,Mới 100%,,True,False,
422,"- Bảo hiểm, bảo dưỡng, cam ke̊̂t mọi tie̲̅u chuả̳n vè̲ xe. | Quý kha̓̄ch hā̕ng an ta̓̄m",VinFast,VF8 Eco,2023.0,50000.0,Đã qua sử dụng,,False,False,
423,"NỘI THẤT VF 6 HIỆN ĐẠI, PHÓNG KHOÁNG",VinFast,VF6 Plus,2026.0,0.0,Mới 100%,,,True,
424,"CHÀO BÁN, Pin công nghệ mới LFP, sạc nhanh tại trạm chỉ 15p đi được 180km, Tính năng thông minh điều khiển bằng giọng nói, Đèn pha, đèn hậu LED, gương chiếu hậu gập điện, gạt mưa tự động, 6 túi khí, Cảnh báo điểm mù, cam 360, cảnh báo lệch làn, Khả năng tăng tốc cực nhanh",VinFast,VF e34,2023.0,0.0,Mới 100%,Mua pin,,True,
425,"Chuyên cơ mặt đất, đẳng cấp xe điện siêu sang mới nhất của MAYBACH",Mercedes-Benz,EQS 680 Maybach SUV,2025.0,0.0,Mới 100%,Mua pin,,True,
426,"cửa sổ trời, ghế có chức năng sưởi, mãnh liệt tinh thần Việt Nam",VinFast,VF6 Plus,2025.0,0.0,Mới 100%,,,True,
427,- Chào bán : VF3 màu Đỏ mua pin sx 2025 | ODO 9000km,VinFast,VF3 Plus,2025.0,9000.0,Đã qua sử dụng,Mua pin,,True,
428,- GIÁ XE VINFAST VF7 ĐIỀU CHỈNH - THỜI ĐIỂM CHỐT XE TỐT NHẤT | - Miễn 100% Thuế Trước Bạ | - Miễn phí sạc pin đến T7/2027,VinFast,VF7,,,Đã qua sử dụng,Mua pin,,True,
429,"xuất hiện ngoại hình nhỏ gọn, kích thước, trọng lượng không tải, dung lượng pin, công suất động cơ, mô men xoắn, thời gian tăng tốc",VinFast,VF5 Plus,2026.0,0.0,Mới 100%,Mua pin,,False,
430,- Mạnh Liệt Tương Lai Xanh giảm 6% | - Quy đổi xe Vin2025 | - Hạng Vinclub Dimond,VinFast,VF3 Plus,2025.0,0.0,Mới 100%,,,True,
431,"zin auto chào bán, chạy 56 vạn rất mới",VinFast,VF8 Eco AWD,2023.0,56000.0,Đã qua sử dụng,,True,False,
432,"ĐK 08.25. Đi 9000 km. Còn xạc không giới hạn đến 06.27, xạc có giới hạn thêm 1 năm",VinFast,VF6 Plus,2025.0,9000.0,Đã qua sử dụng,Mua pin,,False,
433,nhận xe Chỉ với 100 TRIỆU | hỗ trợ trả góp 100% giá trị xe | sạc tới 2027,VinFast,VF5 Plus,2025.0,0.0,Mới 100%,Mua pin,,False,
434,mua Pin CATL đi 25.000km,VinFast,VF8 Eco AWD,2023.0,25000.0,Đã qua sử dụng,Mua pin,,False,
435,"nâng cấp càng A, thêm tấm chắn gầm bảo vệ pin, odo dưới 50km xe mới 99.9%",VinFast,VF3 Plus,2025.0,0.0,Mới 100%,,False,False,
436,"mạnh nhất phân khúc, không gian nội thất rộng rãi, trang bị nhiều tính năng an toàn vượt trội",VinFast,VF5 Plus,2024.0,0.0,Mới 100%,,,False,
437,"NỘI THẤT VF 6 HIỆN ĐẠI, PHÓNG KHOÁNG",VinFast,VF6 Plus,2026.0,0.0,Mới 100%,,,True,
438,- Xe rất đẹp! - Hỗ Trợ trả góp 75-60% giá trị xe 7năm,VinFast,VF5 Plus,2024.0,0.0,Mới 100%,,True,False,
439,"Chuyên mua bán trao đổi xe oto đã qua sử dụng, mua nhanh, bán nhanh, giá tốt nhất thị trường !",VinFast,VF e34,2023.0,,Đã qua sử dụng,Mua pin,,True,
440,"LUÔN CÓ SẴN XE VÀ HỒ SƠ GIAO NGAY | BAO NỢ XUẤT THƯỜNG NHÓM 5, DUYỆT VAY CHỈ SAU 5 PHÚT | HỖ TRỢ GIAO XE TẬN NHÀ",,,,0.0,Mới 100%,,,True,
441,"LUÔN CÓ SẴN XE VÀ HỒ SƠ GIAO NGAY, BAO NỢ XUẤT TÁCH, MIỄN PHÍ SẮC PIN",,VF6 Plus,2026.0,0.0,Mới 100%,,,True,
