id,reasoning,brand,model,imputed_year,imputed_mileage_km,has_aftermarket_mods
403,"Model inferred as K2 from the Lehe K2 reference; brand not in the standard set, so brand is null. No year or odometer mileage mentioned. No aftermarket mods mentioned.",,K2,,,False
404,"Model inferred as 133s from the title. Brand not identifiable. The description mentions mileage per charge (20-30km) but this is not ODO mileage, so imputed_mileage_km remains null. No aftermarket mods mentioned.",,133s,,,False
405,Model inferred as M133 from the title. Brand not identifiable. No year or odometer mileage mentioned. No aftermarket mods mentioned.,,M133,,,False
416,Brand: unknown. Model: V1 (from description). No year or mileage mentioned. No aftermarket mods detected.,,V1,,,False
417,Brand and model not identified. No year or mileage mentioned. No aftermarket mods detected.,,,,,False
418,Brand and model not identified. No year or mileage mentioned. No aftermarket mods detected.,,,,,False
419,Model inferred as Ninja from title. Brand not identified. No year or mileage mentioned. No aftermarket mods detected.,,Ninja,,,False
420,Model inferred as Hitasa from title. Brand not identified. No year or mileage mentioned. No aftermarket mods detected.,,Hitasa,,,False
411,No brand or model or year/mileage mentioned; set nulls. No aftermarket mods indicated.,,,,,False
412,No brand/model/year/mileage mentioned; set nulls. No aftermarket mods indicated.,,,,,False
413,Model inferred as 'Mima'; no brand/year/mileage mentioned; no aftermarket mods indicated.,,Mima,,,False
414,Model inferred as 'VC'; year inferred as 2025; no mileage mentioned; no aftermarket mods indicated.,,VC,2025.0,,False
415,Brand not in standard list; model inferred as 'DYDXE'; no year/mileage; no aftermarket mods indicated.,,DYDXE,,,False
426,No brand/model/year/mileage data found in title/desc. No aftermarket mods indicated.,,,,,False
427,"No brand/model/year information found. Mentions 4 batteries and a remote/card lock feature, but no aftermarket modifications.",,,,,False
428,No brand/model/year information found. Mentions per-charge range (35-40 km) but no odometer/mileage data.,,,,,False
429,No brand/model/year information found. Describes general sporty design and motor capability; no mileage data.,,,,,False
430,No brand/model/year information found. Mentions 4 batteries and sporty design; no mileage data.,,,,,False
421,No brand or model identified in the title/desc; no mileage stated; no aftermarket mods mentioned.,,,,,False
422,Brand detected as Pega from title; no mileage or mods mentioned.,Pega,,,,False
423,No standard brand detected; mileage appears as 1000 km in description; brand and model left unknown.,,,,1000.0,False
424,No brand or mileage mentioned; description notes four batteries but not captured as a field.,,,,,False
425,Model X1 identified from the title; no brand given; mileage stated as 750 km.,,X1,,750.0,False
431,No brand or model detected; no year or mileage stated; battery warranty mentioned; no aftermarket mods.,,,,,False
433,No brand/model detected; no year or mileage stated; mentions battery health and range per charge; no aftermarket mods.,,,,,False
434,Color info present; no brand/model detected; no year or mileage stated; no aftermarket mods.,,,,,False
435,Model detected 'Before All F8'; brand unknown; no year or mileage stated; mentions battery replacement; no aftermarket mods.,,Before All F8,,,False
436,No brand/model detected; mentions new battery but not an aftermarket modification; no year or mileage stated.,,,,,False
437,Front suspension upgraded to a high-end unit (aftermarket modification) mentioned in description.,,,,,True
438,No explicit aftermarket additions; listing mentions accessories and warranty but no owner-added mods.,,,,,False
439,Brand 'Lyn' not in the allowed standard-brand set; no model/year/mileage info present.,,,,,False
440,No brand/model/year/mileage/mod details provided beyond color and usage; no mods mentioned.,,,,,False
441,Used condition stated; no brand/model/year/mileage/mod details provided.,,,,,False
442,"Used status indicated by 'đã qua sử dụng'; no brand, model, year, or mileage mentioned.",,,,,False
443,"Model Vespa 946 (V3) referenced; brand not clearly stated; other details (papers, warranty, battery) noted but no mileage/year information.",,Vespa 946 (V3),,,False
444,"Brand identified as Yadea; model is i6; no year or mileage provided, though a range per charge is mentioned in the description.",Yadea,i6,,,False
445,Model listed as V1 Plus; no brand specified; description mentions five large batteries but not aftermarket mods.,,V1 Plus,,,False
446,Brand explicitly stated as Pega; model not provided.,Pega,,,,False
447,Model identified as M133; no brand mentioned; no year or mileage stated. Noted specs include speed 40-50 km/h and a range of 50 km per charge; assembled in Vietnam; no aftermarket mods mentioned.,,M133,,,False
448,Description indicates near-new condition; no year or mileage mentioned; no brand or model specified.,,,,,False
449,Listing says the bike is new and mentions financing; no brand or model specified; no year or mileage provided.,,,,,False
450,Brand identified as Sonsu from the description; color White/Black; no year or mileage; no model listed.,Sonsu,,,,False
451,Brand identified as Asama; described as used; no year or mileage stated; no model provided.,Asama,,,,False
452,Brand detected: Pega. No model/year/mileage/mods mentioned.,Pega,,,,False
453,Brand detected: Asama. Model detected: A-48. No year/mileage/mods mentioned.,Asama,A-48,,,False
456,Brand not in standard list. No model/year/mileage/mods mentioned.,,,,,False
457,Brand not in standard list; no model/year/mileage/mods mentioned.,,,,,False
458,Model detected: 133. Brand not specified. No year/mileage/mods mentioned.,,133,,,False
459,Brand: null; Model: null. Notable: estimated range 45–50 km per charge; price around 8.5 million VND. No explicit year or odometer information. No aftermarket mods mentioned.,,,,,False
460,"Model: M133 Neweco (4 large batteries). Brand not stated. Notable: lights present (LED tail light, bulb, indicators) with 12V and 48V references. No year or odometer information.",,M133 Neweco,,,False
461,Brand: Asama. Model: null. Notable: estimated range ~35 km per charge; price around 2.5 million VND. No year or odometer information.,Asama,,,,False
462,Model: A9+. Brand: null. Notable: listing mentions a damaged battery (hư bình); no range or year information.,,A9+,,,False
463,Model: Aima. Brand: null. Notable: uses 4 batteries (12V23Ah); batteries recently replaced; chassis may still be under warranty. No year or odometer information.,,Aima,,,False
464,Model 'V1' detected from title; brand unknown (not in standard list); year/mileage/mods not specified.,,V1,,,True
465,Model inferred as 'Hitbike' from title; brand not in standard list; year/mileage/mods not specified.,,Hitbike,,,True
466,Model inferred as 'Cap' from title; brand unknown; year/mileage/mods not specified.,,Cap,,,True
467,Model inferred as 'Gấp gọn' (foldable) from title; brand unknown; year/mileage/mods not specified.,,Gấp gọn,,,True
468,No explicit brand or model identified; year/mileage/mods not specified.,,,,,True
474,"Mileage approximately 1000 km indicated ('hơn 1.000 km'). No explicit year, no clear brand or model found. No aftermarket mods mentioned.",,,,1000.0,False
475,Year mentioned as 2023 ('cuối năm 2023'). Model inferred as 'Neo'. Brand not in the allowed standard list.,,Neo,2023.0,,False
476,Model inferred as '133 Cam'. No year or mileage mentioned. Brand unknown.,,133 Cam,,,False
477,"Brand 'Hyundai' not in the standard set; brand set to null. No explicit model. Mileage range mentioned is per-charge, not ODO.",,,,,False
478,No year or mileage mentioned; no recognizable brand or model in the standard set.,,,,,False
469,"Yamaha electric bike detected in title; brand not in the standard list, so brand=null; model captured as 'Yamaha'; no mileage or year mentioned.",,Yamaha,,,False
470,No brand or mileage details discernible in description; treated as unknown brand/model; mileage=null.,,,,,False
471,Detected brand Asama from title; mileage 35 km mentioned; no aftermarket mods.,Asama,,,35.0,False
472,Detected brand Asama from title; no mileage info provided.,Asama,,,,False
473,"Brand HKbike appears; not in standard list, so brand=null; model set to 'HKbike'; mileage estimated from range 15-25 km as midpoint 20.",,HKbike,,20.0,False
479,"Brand 'Panasonic' is not in the allowed standard-brand list; no specific model, production year, or odometer reading is provided; no aftermarket mods are indicated.",,,,,True
480,"Brand not specified in the title/description; no model/year/mileage given; mention of a new battery is maintenance, not an aftermarket modification.",,,,,True
481,Brand not specified; no model/year/mileage provided; no aftermarket mods indicated.,,,,,True
482,No brand given; description describes pedal-assist bike with stock 10Ah battery and a 20-35km range in eco mode; no year/mileage mentioned; no aftermarket mods indicated.,,,,,True
483,No brand specified; description mentions a used electric bike with a dead battery needing replacement; no year/mileage provided; no aftermarket mods indicated.,,,,,True
494,Brand identified as Pega from title; no mileage/year mentioned.,Pega,,,,False
495,No brand or model mentioned; only color Vàng and price; no mileage/year.,,,,,False
496,Model inferred as Musashi; brand not in standard list.,,Musashi,,,False
497,Brand not in standard list; treat as a model name (Gican).,,Gican,,,False
498,No brand or model mentioned in title; description notes three-wheel configuration; mileage/year unavailable.,,,,,False
484,Model inferred from title: D155. Brand unknown. Year: null. Mileage: null. Aftermarket mods: false.,,D155,,,False
485,Model inferred from title: V1 PLUS. Brand unknown. Year: null. Mileage: null. Aftermarket mods: false.,,V1 PLUS,,,False
486,Model inferred from title: DK bike. Brand unknown. Year: null. Mileage: null. Aftermarket mods: false. Description mentions 'độ kiểng' but no explicit aftermarket items listed.,,DK bike,,,False
487,Model inferred from title: 133. Brand unknown. Year: null. Mileage: null. Aftermarket mods: false. Description mentions 'độ kiểng' but no explicit aftermarket items listed.,,133,,,False
488,No model or brand stated; only financing terms. Year: null. Mileage: null. Aftermarket mods: false.,,,,,False
489,No explicit brand/model; no year/mileage in title/desc; aftermarket mods not mentioned.,,,,,False
490,No explicit brand/model; DETECH wattage given but not a mapped standard brand; no year/mileage; no mods indicated.,,,,,False
491,Model appears as '133DS'; brand not specified; no year/mileage; no mods.,,133DS,,,False
492,Model appears as 'M133 PRO ASUKA'; brand not specified; no year/mileage; no mods.,,M133 PRO ASUKA,,,False
493,Used for about one year; no explicit year/model/brand/mileage details; no mods.,,,,,False
499,Brand not in standard list; model identified as Kexun; no explicit year or mileage mentioned; no aftermarket mods.,,Kexun,,,False
500,Brand is Pega (standard). No year or mileage mentioned. No aftermarket mods.,Pega,,,,False
501,No brand or model specified; interpreted as unknown. No year or mileage mentioned.,,,,,False
502,Brand not in standard list; model identified as HKbike; no year or mileage mentioned.,,HKbike,,,False
503,Brand Pega (standard). Model Cap A3 identified. No year or mileage mentioned.,Pega,Cap A3,,,False
504,No brand or model detected; no year or mileage specified in title/desc. No aftermarket mods noted.,,,,,False
505,Mileage mentioned: battery range ~15 km per charge; no brand/model/year detected.,,,,15.0,False
506,Model detected: K1 from title; no brand/year; mileage per charge up to 55 km.,,K1,,55.0,False
507,Model detected: Gr56 from title (Tai LG Gr56); no brand/year/mileage specified.,,Gr56,,,False
508,Model detected: M133 from title; no brand/year/mileage specified.,,M133,,,False
514,Model detected in title as M133; brand/year/mileage not specified; no aftermarket mods indicated.,,M133,,,False
515,No brand/model/year/mileage mentioned in title/desc; no aftermarket mods detected.,,,,,False
516,No brand/model/year/mileage mentioned; battery replacement noted but not captured as a feature; no aftermarket mods indicated.,,,,,False
517,No brand/model/year/mileage mentioned; no aftermarket mods detected.,,,,,False
518,No brand/model/year/mileage mentioned; no aftermarket mods detected.,,,,,False
519,Brand unknown; model unknown; no mileage/year information; no aftermarket mods detected.,,,,,False
520,Model inferred as 133 from title; brand unknown; no mileage/year information; no aftermarket mods.,,133,,,False
521,No explicit brand or clean model name; description mentions Japanese origin and 3 modes; no mileage/year; no mods.,,,,,False
522,Model inferred as S9 from title; brand unknown; no mileage/year; no mods.,,S9,,,False
523,Model inferred as 133S from title; brand unknown; no mileage/year; no mods.,,133S,,,False
509,Model Venus detected from title; brand not stated; no year or mileage mentioned; no aftermarket mods inferred.,,Venus,,,False
510,No specific brand or model mentioned; described as new with no battery details; no year or mileage provided.,,,,,False
511,Describes battery condition as bình khỏe but no model/brand/year/mileage specified; no aftermarket mods inferred.,,,,,False
512,Model Osaka inferred from title/description (OSAKA); brand not stated; battery recently replaced; no year/mileage information.,,OSAKA,,,False
513,Model X4 New Bear identified; year 2025 indicated in title; no mileage specified; no aftermarket mods inferred.,,X4 New Bear,2025.0,,False
534,Brand inferred from description: Pega. Model inferred as Capa S. No mileage/year mentioned. No aftermarket mods.,Pega,Capa S,,,False
535,No explicit brand or model mentioned; only color and range info provided. No mileage/year. No aftermarket mods.,,,,,False
536,Brand identified as Asama (Asama bike). No year/mileage information provided.,Asama,,,,False
537,Model identified as GR56; brand not clearly specified in allowed list.,,GR56,,,False
538,Brand not identifiable; model not specified. No year/mileage. No aftermarket mods.,,,,,False
524,No brand/model/year/mileage mentioned; listing notes used condition and charger included. No aftermarket mods detected.,,,,,False
525,No brand/year/mileage mentioned; description indicates foldable assist bike with aluminum frame; no aftermarket mods.,,,,,False
526,Mentions 'Sonsu E-bike'; brand not mapped to standard list; model inferred as 'Sonsu E-bike'. Year/mileage unknown.,,Sonsu E-bike,,,False
527,No brand/model/year/mileage mentioned; listing indicates new condition; no aftermarket mods.,,,,,False
528,Contains 'sonsu' branding; not mapped to allowed standard brands; model could be 'Sonsu'. Year/mileage unknown.,,Sonsu,,,False
529,"No brand, model, year, or mileage mentioned; no aftermarket mods detected.",,,,,False
530,"No brand, year, or mileage mentioned; no aftermarket mods detected.",,,,,False
531,Brand Honda identified. Mileage implied as 30 km per charge from the reference to '30km'. No aftermarket mods mentioned.,Honda,,,30.0,False
532,"Brand 'Sonsu' is not in the standard-brand list; brand set to null. No year, mileage, or aftermarket mods detected.",,,,,False
533,"Model identified as V8 Mini from the title. No brand, year, or mileage mentioned. No aftermarket mods.",,V8 Mini,,,False
539,Brand not in standard set; preserved as null. Model inferred as SONSU from title; no mileage/year info found; no aftermarket mods mentioned.,,SONSU,,,False
540,Model K1 detected. No mileage/Odometer info; brand unknown. No aftermarket mods mentioned.,,K1,,,False
541,No explicit model or brand identified; no mileage/year; no aftermarket mods mentioned.,,,,,False
542,Model 133c inferred from title; imported; no mileage/year; no aftermarket mods.,,133c,,,False
543,Model V1 inferred from title; price listed; no mileage/year; no aftermarket mods.,,V1,,,False
544,Mileage inferred from '100km/1 LẦN sạc'; brand not identified; year null.,,133 Pin LFP 30Ah,,100.0,False
546,Mileage inferred as 50 km per charge; brand not identified; year null.,,G9,,50.0,False
547,Year 2025 detected; model Bomelli 10; brand not identified.,,Bomelli 10,2025.0,,False
548,Mileage inferred as 60 km per charge; model Dior; brand not identified.,,Dior,,60.0,False
549,Model V1 detected; no mileage/year information; brand not identified.,,V1,,,False
550,No brand or model mentioned in title/desc. No year or mileage stated. No aftermarket mods mentioned.,,,,,False
551,Brand appears as Bridgestone but not in the allowed standard brands; no model or year/mileage mentioned; no mods mentioned.,,,,,False
552,Brand appears as SATO (not in allowed list); model inferred as Y10; no year/mileage; no mods.,,Y10,,,False
553,Mentions V1/ V1 Plus; brand not specified; no year/mileage; no mods.,,V1 Plus,,,False
554,Mentions model '133'; brand not specified; no year/mileage; no mods.,,133,,,False
555,Brand: unknown (null). Model: Sufat (from title). Imputed_year: null. Imputed_mileage_km: null. Has_aftermarket_mods: false.,,Sufat,,,False
556,Brand: null. Model: null. Imputed_year: null. Imputed_mileage_km: null. Has_aftermarket_mods: false.,,,,,False
557,Brand: null. Model: null. Imputed_year: null. Imputed_mileage_km: null. Battery replaced; no aftermarket mods listed.,,,,,False
558,Brand: null. Model: Cap A. Imputed_year: null. Imputed_mileage_km: null. Has_aftermarket_mods: false.,,Cap A,,,False
559,Brand: Asama (detected in title). Model: null. Imputed_year: null. Imputed_mileage_km: null. Has_aftermarket_mods: false.,Asama,,,,False
565,Brand detected: Asama (standard brand). No model/year/mileage/mods mentioned.,Asama,,,,False
566,No brand/model detected; description mentions condition and range per charge but no year/mileage.,,,,,False
567,Brand 'Aima' is not in the standard brand list; brand set to null. No year/mileage/mods mentioned.,,,,,False
568,Model detected: Q29. Brand not in standard list; set brand to null; model 'Q29'. No year/mileage/mods mentioned.,,Q29,,,False
569,No brand/model/year/mileage/mods mentioned; only usage noted.,,,,,False
560,Brand not in standard list (Sonsu not among mapped brands). No year/mileage mentioned. No aftermarket mods stated; set has_aftermarket_mods to false.,,,,,False
561,Brand identified as Pega. Model likely Cap A. No year/mileage mentioned. No aftermarket mods stated.,Pega,Cap A,,,False
562,Brand not in standard list (DK Bike not in mapped brands). Model likely Samurai. No year/mileage mentioned. No aftermarket mods stated.,,Samurai,,,False
563,"Brand not explicit; model identified as Dreaform VC. The description lists aftermarket upgrades: additional yên (seats) and tựa lưng/baga, so has_aftermarket_mods = true.",,Dreaform VC,,,True
564,Brand not standardized; model likely Action. No year/mileage mentioned. No aftermarket mods stated.,,Action,,,False
570,"Brand not in standard list; inferred model 'Asuka'; no year, mileage, or aftermarket mods mentioned.",,Asuka,,,False
571,"Brand unknown; model 'M133'; no year, mileage, or mods mentioned.",,M133,,,False
572,"Brand unknown; model 'Xsport'; no year, mileage, or mods mentioned.",,Xsport,,,False
573,"Brand unknown; model 'SONSU'; no year, mileage, or mods mentioned.",,SONSU,,,False
574,Brand 'Giant' detected; model '133Mplus'; year 2026 mentioned; no aftermarket mods inferred.,Giant,133Mplus,2026.0,,False
575,No brand or model clearly specified; listing mentions BMX bike but does not identify a brand. No year or mileage mentioned. No aftermarket mods indicated.,,BMX,,,False
576,Model appears to be V1; no brand identified. Mileage not provided; year not provided. No aftermarket mods indicated.,,V1,,,False
578,Brand detected as Asama from the title; model AS-60. No year or mileage information. No aftermarket mods indicated.,Asama,AS-60,,,False
579,Brand not mapped to a standard brand (Yamaha is not in the allowed list); model set to Yamaha as mentioned in the title. No year or mileage information. No aftermarket mods indicated.,,Yamaha,,,False
580,No standard brand detected; model MOVE SPORT identified. No year or mileage information; no aftermarket mods indicated.,,MOVE SPORT,,,False
581,Brand detected: Giant; no year/mileage info in description; no aftermarket mods indicated.,Giant,,,,False
582,Brand detected: Asama; no year/mileage; no aftermarket mods indicated.,Asama,,,,False
583,Brand detected: Pega; model: Wings; no year/mileage; no aftermarket mods indicated.,Pega,Wings,,,False
584,Brand not stated; model not specified; no year/mileage; no aftermarket mods indicated.,,,,,False
585,Brand not in standard list; model detected as GICINI SK; no year/mileage; no aftermarket mods indicated.,,GICINI SK,,,False
586,"Detected brand 'Yamaha' in title but it is not among the standard brands; brand left null. No model, year, or mileage mentioned. No aftermarket mods indicated.",,,,,True
587,"No explicit brand or model mentioned; only color and condition described. Year, mileage, and mods unknown.",,,,,False
588,"No brand or model info found; color mentioned but not used as a feature. Year, mileage, and mods unknown.",,,,,False
589,Model 'GR55' inferred from title; brand 'LG' not in the standard mapping; brand left null. Year and mileage unknown. Mods unknown.,,GR55,,,False
590,"Brand 'Hyundai' not in the standard mapping; no model, year, mileage, or mods mentioned.",,,,,False
591,Model inferred from title as FEDERAL TERRAIN; no year or mileage mentioned; no aftermarket mods inferred.,,FEDERAL TERRAIN,,,False
592,Model inferred from title as 133M; no year or mileage; no aftermarket mods stated.,,133M,,,False
593,No explicit model or brand in title/desc; no year or mileage; no aftermarket mods inferred.,,,,,False
594,Model inferred from title as CAP OSAKA; no year or mileage; no aftermarket mods.,,CAP OSAKA,,,False
595,Title mentions Yamaha but Yamaha is not mapped to a standard brand per guidelines; no clear model; no year or mileage; no aftermarket mods.,,,,,False
596,Brand: Pega. Model: Cap Pega. No year or mileage mentioned. No aftermarket mods.,Pega,Cap Pega,,,False
597,Brand: unknown (not from standard brands). Model: unknown. No year or mileage mentioned. No aftermarket mods.,,,,,False
598,Brand: unknown (not from standard brands). Model: unknown. No year or mileage mentioned. No aftermarket mods.,,,,,False
599,Brand: unknown (not from standard brands). Model: unknown. No year or mileage mentioned. No aftermarket mods.,,,,,False
600,Brand: unknown (not from standard brands). Model: unknown. No year or mileage mentioned. No aftermarket mods.,,,,,False
601,CAP-A model; no year/mileage info; no aftermarket mods mentioned; brand undetermined.,,CAP-A,,,False
602,Model 133; no year/mileage info; no aftermarket mods mentioned; brand undetermined.,,133,,,False
603,No explicit brand or model in the listing; no year/mileage; no aftermarket mods mentioned.,,,,,False
604,New listing with 100% condition; no year/mileage; no aftermarket mods mentioned; brand/model not stated.,,,,,False
605,Brand LIHAZE not in the mapped brand list; recorded as model name LIHAZE with no brand.,,LIHAZE,,,False
606,Detected year 2018 from title; Brand not in standard list; Model set to 'Alpha Bike'.,,Alpha Bike,2018.0,,True
607,Brand 'Yadea' detected; Model set to 'V1 Pro' from description; Year and mileage not specified.,Yadea,V1 Pro,,,False
608,Brand not in standard list; Model set to 'G14 PRO'.,,G14 PRO,,,False
609,Brand not in standard list; Model set to 'GR56'.,,GR56,,,False
610,Brand 'Asama' detected; Model not specified.,Asama,,,,False
616,Brand not in standard list; title indicates JVC as model. No year or mileage mentioned. No aftermarket mods.,,JVC,,,False
617,Model inferred as 133 from title; no year/mileage; brand unknown; no mods mentioned.,,133,,,False
618,Model inferred as M133 VIP; new condition stated; no year/mileage; no mods mentioned.,,M133 VIP,,,False
619,Model not clearly stated; described as used; no year/mileage; no mods mentioned.,,,,,False
620,Brand not in standard list; model inferred as 'Action Sports' from title; no year/mileage; no mods mentioned.,,Action Sports,,,False
621,Không có thông tin năm sản xuất hoặc quãng đường (mileage); thương hiệu và tên mẫu không được nêu; xe đạp điện đã qua sử dụng; không có mod aftermarket được đề cập.,,,,,False
622,Xác định thương hiệu Giant; model M133 Plus; tình trạng được mô tả là mới 100%; không có thông tin năm/mileage; không có mods aftermarket được đề cập.,Giant,M133 Plus,,,False
623,GoGo Kaishi được nhắc đến như mẫu; thương hiệu không được nêu rõ trong danh sách chuẩn; model Kaishi; tình trạng mới 100%; không có thông tin năm/mileage; không có mods aftermarket được đề cập.,,Kaishi,,,False
624,Thương hiệu Giant; model M133 Plus; mô tả tập trung vào hiệu suất và việc có thể trả góp; không có thông tin năm/mileage; không có mods aftermarket được đề cập.,Giant,M133 Plus,,,False
625,Thương hiệu không được nêu rõ; model có thể là S3; không có thông tin năm/mileage; không có mods aftermarket được đề cập.,,S3,,,False
611,"No brand, model, year, or mileage mentioned; no aftermarket mods indicated.",,,,,False
612,Brand not stated; model inferred as 'TKA' from title; no year or odometer mentioned; no mods.,,TKA,,,False
613,No brand/model mentioned; mentions range '20km' but not odometer; no mods.,,,,,False
614,No brand/model mentioned; indicates new condition; no mileage; no mods.,,,,,False
615,Mentions HKbike Cap A as model; brand not in allowed list; no odometer; no mods.,,Cap A,,,False
626,No brand/model/year/mileage details found in title/desc. No aftermarket mods mentioned.,,,,,False
627,Model FTN-CT20 detected. Brand not in standard list. No odometer mileage or aftermarket mods mentioned.,,FTN-CT20,,,False
628,No brand/model-year/mileage/aftermarket mods identifiable from listing.,,,,,False
629,Model Keren detected; brand not in standard list. No odometer mileage or aftermarket mods mentioned.,,Keren,,,False
630,Model Assitsta detected; brand not in standard list. No odometer mileage or aftermarket mods mentioned.,,Assitsta,,,False
636,Brand unknown; model unknown. No production year or mileage mentioned. No aftermarket mods detected.,,,,,False
637,Model Nijia Plus; brand not in the allowed list; no production year or mileage mentioned. No aftermarket mods detected.,,Nijia Plus,,,False
638,Model Galaxy; brand not specified; no production year or mileage mentioned. No aftermarket mods detected.,,Galaxy,,,False
639,Model Sonsu; brand not specified; no production year or mileage mentioned. No aftermarket mods detected.,,Sonsu,,,False
640,Model Moka; battery replacement date mentioned but not production year. No mileage mentioned. No aftermarket mods detected.,,Moka,,,False
631,No clear brand or model; no explicit year or mileage; no aftermarket mods mentioned.,,,,,False
632,"Title mentions 'Osaka 133s' with no standard-brand mapping; brand null, model set to 'Osaka 133s'.",,Osaka 133s,,,False
633,No brand/model; mentions 40km range per charge but not odometer mileage.,,,,,False
634,Brand detected as Asama; no model/year/mileage/mods.,Asama,,,,False
635,Brand not in mapping ('SONSU' not in allowed list); model set to 'SONSU bike'; no year/mileage/mods.,,SONSU bike,,,False
641,Used electric bicycle; no explicit brand/model/year/mileage/mods mentioned.,,,,,False
642,Brand Pega identified from title; no model/year/mileage/mods info provided.,Pega,,,,False
643,Describes original stock with 5 batteries included; no aftermarket mods detected.,,,,,False
644,Noted replacement of 4 batteries; no aftermarket modifications specified.,,,,,False
645,CAP A model mentioned; brand unknown.,,CAP A,,,False
646,Year 2024 detected from description; no explicit brand identified; no mileage reported; no aftermarket mods mentioned; model not specified.,,,2024.0,,False
647,Brand Yadea detected from title; model i8; listing mentions free accessories worth ~2tr which indicates aftermarket mods; no mileage or exact year provided.,Yadea,i8,,,True
648,Brand not explicitly stated; model interpreted as TTFAIR from 'Xe đạp điện TTFAIR'; no year or mileage mentioned; no mods described.,,TTFAIR,,,False
649,"No brand or model mentioned; no year, mileage, or aftermarket modifications reported.",,,,,False
650,"Model inferred as LUXY from 'SUFAT LUXY'; brand not explicitly stated; no year, mileage, or mods mentioned.",,LUXY,,,False
651,Brand detected: Asama. No year or mileage mentioned. No aftermarket mods indicated.,Asama,,,,False
652,"Model identified: Samurai 4. Brand not in standard list, so brand set to null. No year or mileage or mods mentioned.",,Samurai 4,,,False
653,Brand identified: Yadea. Model: i8. No year/mileage/mods provided. Usage noted as ~1 year but not mileage.,Yadea,i8,,,False
654,Model identified: K1. Brand not identifiable from text. No year/mileage/mods mentioned.,,K1,,,False
655,Brand detected: Pega. Model: Cap A9+. No year/mileage/mods mentioned.,Pega,Cap A9+,,,False
656,No brand or model mentioned; no year/mileage; no aftermarket mods stated.,,,,,False
657,Model VP79 detected; brand unknown; mileage not specified; no aftermarket mods.,,VP79,,,False
658,Model Nijia detected; brand unknown; mileage not specified; no aftermarket mods.,,Nijia,,,False
659,Mileage stated as 2100 km; no brand/model/year; no mods.,,,,2100.0,False
660,Model TailG Go detected; brand unknown; no mileage; no mods mentioned.,,TailG Go,,,False
666,No brand or model detected; no year or mileage mentioned; no aftermarket mods.,,,,,False
667,Brand detected: Pega. Model detected: Capa. No year/mileage or mods mentioned.,Pega,Capa,,,False
668,Brand detected: Asama. No model; no year/mileage; no mods.,Asama,,,,False
669,Model detected: 133s. Brand not specified; no year/mileage; no mods.,,133s,,,False
670,No brand or model detected; generic used electric bicycle; no year/mileage; no mods.,,,,,False
671,"Brand identified as Pega from the title; no model, production year, or mileage mentioned; no aftermarket mods indicated.",Pega,,,,False
672,"No brand, model, year, or mileage stated in the title/description; no aftermarket mods indicated.",,,,,False
673,"No brand, model, year, or mileage stated; no aftermarket mods indicated.",,,,,False
674,Brand identified as Asama from the title; no model/year/mileage mentioned; no aftermarket mods indicated.,Asama,,,,False
675,Brand identified as Honda from the title; no model/year/mileage mentioned; no aftermarket mods indicated.,Honda,,,,False
661,Brand not in standard list; model extracted as X5 Pro; no year or mileage mentioned; no aftermarket mods indicated.,,X5 Pro,,,False
662,Model identified as Lihaze (mini); brand not in standard list; no year/mileage; mods not mentioned.,,Lihaze mini,,,False
663,Model identified as Nike bike; brand unknown; no year/mileage; mods not mentioned.,,Nike bike,,,False
664,Model identified HAMACHI; brand unknown; no year/mileage; mods not mentioned.,,HAMACHI,,,False
665,Brand unknown; model Xe đạp điện (electric bicycle) generic; no year/mileage/mods stated.,,Xe đạp điện,,,False
676,"Brand not recognized from listing; item described as new (100%), stock condition; no mileage/year info; no aftermarket mods.",,,,,False
677,Model inferred as V1 from title; brand not in allowed list; year/mileage unknown; no mods.,,V1,,,False
678,Mileage mentioned: 'đã chạy hơn 1.000km' -> 1000 km; brand/model not identifiable; no mods.,,,,1000.0,False
679,Brand listed as Panasonic but not in allowed standard brands; treat as unknown. No model/year/mileage/mod info.,,,,,False
680,No brand/model/year/mileage/mod details in title/desc; only price info; all nulls with no mods.,,,,,False
681,"Brand not identifiable in allowed list. Model GR56 extracted from title. Year inferred from description (2026). Mileage not mentioned as ODO, so null. No aftermarket mods mentioned; has_aftermarket_mods = false.",,GR56,2026.0,,False
682,Brand not identifiable in allowed list. Model M133 extracted from title. No year or mileage mentioned. No aftermarket mods mentioned; has_aftermarket_mods = false.,,M133,,,False
683,Brand not identifiable in allowed list. Model K1 extracted from title. No year or mileage mentioned. No aftermarket mods mentioned; has_aftermarket_mods = false.,,K1,,,False
684,Brand not identifiable in allowed list. Model not discernible from description. No year or mileage mentioned. No aftermarket mods mentioned; has_aftermarket_mods = false.,,,,,False
685,Brand not identifiable in allowed list. Model not discernible from description. No year or mileage mentioned. No aftermarket mods mentioned; has_aftermarket_mods = false.,,,,,False
686,Brand: null; Model: null; Imputed_year: null; Imputed_mileage_km: null; No aftermarket mods indicated.,,,,,False
687,Model inferred as '133S' from title; Brand: null; Imputed_year: null; Imputed_mileage_km: null; No aftermarket mods indicated.,,133S,,,False
688,Brand mapped to Asama from title; Model: null; Imputed_year: null; Imputed_mileage_km: null; No aftermarket mods indicated.,Asama,,,,False
689,Brand: null; Model inferred as 'Rushiki' from title; Imputed_year: null; Imputed_mileage_km: null; No aftermarket mods indicated.,,Rushiki,,,False
