Ngày đăng,Tên xe,Tên người bán,Địa chỉ,Năm sản xuất,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Màu ngoại thất,Số chỗ ngồi,Số cửa,Mô tả,Link,Website,vehicle_type,Giá_VND,brand,car_model,battery_status,is_accident_free,has_aftermarket_mods
2026-02-26,Xe VinFast VF3 Plus 2026,Vinfast Lê Văn Việt,"Vincom Plaza Lê Văn Việt - 50 Lê Văn Việt, Hiệp Phú, Thành Phố Thủ Đức TP HCM",2026.0,Mới,0.0,Lắp ráp trong nước,Hatchback,Xanh,4 chỗ,3 cửa,"VINFAST VF3 – GIÁ ƯU ĐÃI TỐT | SẴN XE GIAO NGAY TẠI TP.HCM | Xe mới 100%, đủ màu, giao ngay – không chờ đợi | ƯU ĐÃI NỔI BẬT TRONG THÁNG | Giảm 6% tiền mặt trực tiếp khi mua xe | Tặng ngay 10 triệu đồng cho khách nhận xe trong tháng | Miễn 100% lệ phí trước bạ | Sạc xe miễn phí theo chính sách VinFast | Gửi xe miễn phí | Tặng 6 triệu điểm VinClub (áp dụng khách TP.HCM) | TẶNG GÓI PHỤ KIỆN CHÍNH HÃNG GIÁ TRỊ CAO | Dán phim cách nhiệt 3M chính hãng – bảo hành 10 năm | Lót sàn cao cấp, camera hành trình | Nước hoa xe, bình chữa cháy, búa thoát hiểm, bộ hồ sơ xe | Phụ kiện nhập khẩu & bảo hiểm xe (theo chương trình từng thời điểm) | ️ CHÍNH SÁCH BẢO HÀNH & HẬU MÃI | Bảo hành xe 7 năm | Pin bảo hành 8 năm | Cứu hộ miễn phí 24/7 trên toàn quốc | HỖ TRỢ TRẢ GÓP LINH HOẠT | Trả trước 0 đồng | Hỗ trợ vay lên đến 100% giá trị xe | Hỗ trợ chứng minh thu nhập – bao hồ sơ khó | Giao xe tận nhà – hỗ trợ đăng ký, đăng kiểm trọn gói | LIÊN HỆ NGAY để: | Nhận báo giá chính xác theo màu xe | Giữ xe sẵn – khóa ưu đãi trong ngày | Xem xe thực tế & lái thử | Để lại tin nhắn hoặc gọi trực tiếp – em hỗ trợ nhanh, rõ ràng, minh bạch.",https://bonbanh.com/xe-vinfast-vf3-plus-2026-6614353,bonbanh.com,oto_dien,262000000.0,Khác,VF3 Plus,Không rõ,True,False
2026-02-26,Xe VinFast Limo Green AT 2026,Vinfast Lê Văn Việt,"Vincom Plaza Lê Văn Việt - 50 Lê Văn Việt, Hiệp Phú, Thành Phố Thủ Đức TP HCM",2026.0,Mới,0.0,Lắp ráp trong nước,SUV,Đen,7 chỗ,5 cửa,"VINFAST LIMO GREEN – XE ĐIỆN 7 CHỖ | SẴN KHO TP.HCM | NHẬN XE NGAY | VinFast Limo Green hiện đang có xe sẵn tại TP.HCM, phù hợp khách hàng mua xe chạy dịch vụ, hợp đồng, xe gia đình kết hợp kinh doanh. Xe mới 100%, đủ màu, mua xong có thể đưa vào sử dụng ngay. | THÔNG TIN XE & HỖ TRỢ | Xe mới hoàn toàn, chưa đăng ký | Có sẵn xe – không chờ sản xuất | Thủ tục nhanh gọn, xử lý hồ sơ trong ngày | Không cần chứng minh thu nhập | Hỗ trợ vay ngân hàng tối đa 100% giá trị xe | Thuế trước bạ 0 đồng | Miễn phí sạc xe theo chính sách VinFast | Tặng 7,5 triệu điểm VinClub (TP.HCM – Bình Dương – Vũng Tàu) | ƯU ĐÃI KHI MUA XE | Giảm trực tiếp 6% giá bán | Tặng 02 năm bảo hiểm vật chất | Hoặc lựa chọn giảm ngay 15 triệu đồng vào giá xe | Bao toàn bộ hồ sơ vay ngân hàng | PHỤ KIỆN ĐI KÈM XE | Dán phim cách nhiệt 3M chính hãng, bảo hành 10 năm | Lót sàn cao cấp theo xe | Camera hành trình | Bình chữa cháy mini | Búa thoát hiểm | Nước hoa ô tô | Bóp đựng hồ sơ xe | Phụ kiện nhập khẩu theo chương trình từng thời điểm | Tặng Bảo hiểm TNDS & Bảo hiểm vật chất | Bảo hành xe 7 năm – Pin 8 năm | HỖ TRỢ RIÊNG CHO XE DỊCH VỤ | Đăng ký hợp tác xã miễn phí 7 năm | Miễn phí lắp đặt hộp đen | Cấp phù hiệu hợp tác xã | Cứu hộ miễn phí 24/7 toàn quốc | PHƯƠNG ÁN TRẢ GÓP | Trả trước 0 đồng | Vay ngân hàng đến 100% | Bao hồ sơ khó | Giao xe tận nơi | Hỗ trợ đăng ký – đăng kiểm | Liên hệ ngay để giữ xe màu đẹp – số lượng có hạn",https://bonbanh.com/xe-vinfast-limo-green-at-2026-6611876,bonbanh.com,oto_dien,677000000.0,Khác,Khác,Không rõ,True,False
2026-02-26,Xe VinFast VF3 Plus 2024,Auto Linh Anh,"đường 40m, khu đô thị Sunshine, Phú Thượng, Tây Hồ Hà Nội",2024.0,Đã qua sử dụng,16000.0,Lắp ráp trong nước,Hatchback,Xám,4 chỗ,3 cửa,"VF3 sx 2024 thuê pin 900k/tháng. Odo 1v6km. Đã lên đồ đèn pha sáng, ốp lazang, cam hành trình trước sau, cam lùi, ghế da, phim cách nhiệt, thảm đúc...",https://bonbanh.com/xe-vinfast-vf3-plus-2024-6645550,bonbanh.com,oto_dien,222000000.0,Khác,VF3 Plus,Không rõ,False,True
2026-02-26,Xe VinFast VF5 Plus 2024,HM Auto,"276 Nguyễn Xiển, Tân Triều, Thanh Trì Hà Nội",2024.0,Đã qua sử dụng,12000.0,Lắp ráp trong nước,SUV,Trắng,5 chỗ,5 cửa,"Hàng về đầu năm ae nhé. | Vf5 bản plus sx 2024 | Odo 2.2v zin. | Xe đẹp đã lên: cảm biến áp suất lốp, đèn led, dán kính, Sàn. | - Xe cam kết không đâm đụng, không ngập nước, bao check hãng toàn quốc. | - Hỗ trợ sang tên đổi chủ, thủ tục giấy tờ pháp lý rõ ràng. | - Chế độ bảo hành hậu mãi, chăm sóc xe miễn phí sau khi mua xe | Liên hệ để biết thêm thông tin xe",https://bonbanh.com/xe-vinfast-vf5-plus-2024-6677370,bonbanh.com,oto_dien,415000000.0,Khác,VF5 Plus,Không rõ,True,True
2026-02-26,Xe VinFast VF8 Eco AWD 2023,GF Thăng Long,"68 Trịnh Văn Bô, Phương Canh, Nam Từ Liêm Hà Nội",2023.0,Đã qua sử dụng,6200.0,Lắp ráp trong nước,SUV,Đen,5 chỗ,5 cửa,"Vinfast Vf8 eco 2023 ,pin catl ,odo 6v2 km, màu đen | Trải nghiệm VF 8 lướt - chuẩn Green Future: | - Kiểm định 139 bước nghiêm ngặt | - Ngoại thất như mới, vận hành êm ái | - Giảm giá 50tr tiền mặt cho KH Xhđ trong tháng 12/2025 | - Ưu đãi tới 70 triệu đồng khi chuyển đổi từ xe xăng sang xe điện | - Miễn phí sạc đến 30/06/2027 | - Bảo hành 10 năm | Quý khách vui lòng liên hệ GF Thăng Long để xem xe và nhận ưu đãi tốt nhất!",https://bonbanh.com/xe-vinfast-vf8-eco-awd-2023-6556531,bonbanh.com,oto_dien,720000000.0,Khác,VF8 Eco,Pin Catl,True,False
2026-02-26,Xe VinFast VF8 S 2024,GF Green Future 269,"79 Nguyễn Văn Cừ, Long Biên Hà Nội",2024.0,Đã qua sử dụng,12000.0,Lắp ráp trong nước,SUV,Xám,5 chỗ,5 cửa,"VinFast VF8 S Pin Catl sx 2024 - Đổi xe xăng sang xe điện giảm trực tiếp tiền măt lên đến 70tr | => TẶNG 20 TRIỆU TIỀN MẶT và 1 Năm Bảo Hiểm Thân Vỏ | Xe màu xám, nội thất đen | - Odo: 11km | - Dài x Rộng x Cao: 4750 x 1934 x 1667 (mm) | - Chiều dài cơ sở: 2950 (mm) | - Công suất tối đa: 260 kW (tương đương 349 hp) | - Mô-men xoắn cực đại: 500 Nm | - Hệ dẫn động: Cầu trước (FWD) | - Dung lượng pin: khoảng 82-87 kWh | - Quãng đường di chuyển: khoảng 471km (tiêu chuẩn WLTP) | Xe đã được kiểm tra đạt đủ tiêu chuẩn của nhà máy | Cam kết xe không lỗi, bảo hành dài hạn | Hỗ trợ trả góp lãi suất ưu đãi | Liên hệ Mr Khánh để biết thêm thông tin!",https://bonbanh.com/xe-vinfast-vf8-s-2024-6581422,bonbanh.com,oto_dien,780000000.0,VinFast,VF8 S,82-87 kWh,True,False
2026-02-26,Xe Mercedes Benz EQE 500 4Matic 2024,Mercedes Sài Gòn South - Used Car,"Đường số 7, Kcx Tân Thuận, Quận 7 TP HCM",2024.0,Đã qua sử dụng,12000.0,Nhập khẩu,SUV,Đen,5 chỗ,5 cửa,"Một xe điện EQE500 bản V1 đã cập nhật màn hình Hyper Screen, bản đồ thực tế ảo và chế độ xem đèn giao thông. | Tặng hộp sạc, phiếu sạc lên đến gần trăm triệu.",https://bonbanh.com/xe-mercedes_benz-eqe-500-4matic-2024-6490567,bonbanh.com,oto_dien,2869000000.0,Khác,EQE 500 4Matic,Không rõ,True,True
2026-02-26,Xe BYD M6 Standard 2025,Salon Ô tô Tân Hùng Phát,"579 Quốc Lộ 13 phường Hiệp Bình Phước, TP Thủ Đức TP HCM",2025.0,Đã qua sử dụng,12000.0,Nhập khẩu,Van/Minivan,Trắng,7 chỗ,5 cửa,"BYD M6 2025 - MPV điện 7 chỗ hiện đại nhiều trang bị như ghế chỉnh điện, Camera 360, sạc không dây, cruise control,... | Cam kết bằng văn bản: | Xe không va chạm, không thủy kích | Động cơ, khung gầm, máy móc nguyên bản | Hồ sơ pháp lý rõ ràng, làm việc nhanh chóng | Không phạt nguội, không tranh chấp | Bảo hành động cơ hộp số 10.000km hoặc 6 tháng | Bao kiểm tra hãng | Khuyến khích xem xe trực tiếp, lái thử và cảm nhận xe. Giá cả còn thương lượng khi xem xe! | _ | Tân Hùng Phát Auto sẵn sàng phục vụ quý khách. | Địa chỉ: 579 Quốc Lộ 13, Hiệp Bình Phước, Thành phố Thủ Đức",https://bonbanh.com/xe-byd-m6-standard-2025-6652054,bonbanh.com,oto_dien,689000000.0,BYD,M6 Standard,Không rõ,True,False
2026-02-26,Xe VinFast VF5 Plus 2024,Ô tô Điện Biên,Bến xe cũ thành phố Điện Biên Phủ Điện Biên,2024.0,Đã qua sử dụng,12000.0,Lắp ráp trong nước,SUV,Ghi,5 chỗ,5 cửa,"✓Salon ô tô Điện Biên trào bán VF 5 2024 bản đủ xe cực đẹp, sơn din 100%, cam kết xe ko lỗi nhỏ | ✓Bác nào đang tìm mua xe thì câm đối chiếc xe lướt của em rẻ hơn xe mới hơn 100 củ | ✓Quý khách xem xe để trải nghiệm",https://bonbanh.com/xe-vinfast-vf5-plus-2024-6645713,bonbanh.com,oto_dien,405000000.0,VinFast,VF5 Plus,Không rõ,True,False
2026-02-26,Xe VinFast VF9 Plus 6S 2024,Đại Việt Car,"561 Đ. Nguyễn Văn Linh, TT. Sài Đồng, Long Biên Hà Nội",2024.0,Đã qua sử dụng,12000.0,Lắp ráp trong nước,SUV,Xanh,6 chỗ,5 cửa,"VF9 Plus pin CATL - Mua Pin- sạc free hết 2027 | Đặc biệt Xe được thuê gói thuê pin Tiên Phong không giới hạn km | Xuất hoá đơn công ty | Free sạc pin 1.5 năm | Xe được trang bị : | -Hệ thống hỗ trợ người lái thông minh Adas | + Tự động điều chỉnh làn đường khi gặp chướng ngại vật | + Tự động phanh | + Giữ khoảng cách tự động với xe phía trước | + Ga tự động cruiscontrol | -Hệ thống camera 360 và hỗ trợ đỗ xe trước sau | -Hệ thống làm mát sấy sưởi ghế, massage 36 tư thế, apple carplay, androi auto, esim, game giải trí trên màn hình, đèn full led có thích ứng thông minh.... | -Hệ thống nhắc nhở buồn ngủ, mệt mỏi | -Hệ thống báo động người ngủ quên trong xe, trẻ em trong xe, thú cưng trong xe | -Rất nhiều chế độ sử dụng : Cắm trại, rửa xe, chế độ lái eco, sport, phanh tái sinh tiết kiệm.... | -Cốp điện, cửa hít, màn hình HUD đa màu",https://bonbanh.com/xe-vinfast-vf9-plus-6s-2024-6627003,bonbanh.com,oto_dien,1179000000.0,Khác,VF9 Plus 6S,mua pin,True,True
2026-02-26,Xe VinFast VF8 Plus AWD 2023,Tô Tuân,"Nguyễn Xiển, Thanh Xuân, Hà Nội Hà Nội Xem gian hàng  ⇨",2023.0,Đã qua sử dụng,4800.0,Lắp ráp trong nước,SUV,Bạc,5 chỗ,5 cửa,"Xe GF | VF8 Plus Bạc / nội thất Nâu Da Bò 2023 Mua Pin SDI | Odo 4v8 km | Xe đẹp đã qua tuyển chọn | Sẵn hồ sơ sang tên không phải chờ đợi | Giá trên đã bao gồm chính sách tháng, giảm thêm 70 triệu nếu có xe xăng đổi lên",https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6644187,bonbanh.com,oto_dien,730000000.0,VinFast,VF8 Plus,Mua pin,False,True
2026-02-26,Xe VinFast VF8 Plus AWD 2023,Tô Tuân,"Nguyễn Xiển, Thanh Xuân, Hà Nội Hà Nội Xem gian hàng  ⇨",2023.0,Đã qua sử dụng,4900.0,Lắp ráp trong nước,SUV,Đen,5 chỗ,5 cửa,"VF8 Plus Đen / nội thất Đen 2023 Mua Pin CATL | Odo 4v9 km | Xe đẹp đã qua tuyển chọn | Sẵn hồ sơ sang tên không phải chờ đợi | Giá trên đã bao gồm chính sách tháng 1, giảm thêm 70 triệu nếu có xe xăng đổi lên",https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6641798,bonbanh.com,oto_dien,790000000.0,VinFast,VF8 Plus,Không rõ,False,True
2026-02-26,Xe VinFast VF9 Plus 7S 2023,Tấn Nhất Tín,Hà Nội Hà Nội Xem gian hàng  ⇨,2023.0,Đã qua sử dụng,12000.0,Lắp ráp trong nước,SUV,Trắng,7 chỗ,5 cửa,"Chiều muộn lại về hàng hot ae có khách cùng bán nhé | Vf9 pin Catl 2023 mua pin Plus đi 1,6 vạn | 7 chỗ trần kính | Full lịch sử hãng - Bảo hành hãng | Hỗ trợ bank | Em cần mua nhiều xe Vinfast lướt từ xe xăng tới xe điện. Ae có thông tin ib kín với ạ. Mua cao, hoa hồng cho ae gthieu ạ",https://bonbanh.com/xe-vinfast-vf9-plus-7s-2023-6645089,bonbanh.com,oto_dien,1180000000.0,VinFast,VF9 Plus,Mua pin,True,True
2026-02-26,Xe Porsche Taycan 4S 2020,Greenway Auto,"66 Phổ Quang, Phường 2, Quận Tân Bình TP HCM",2020.0,Đã qua sử dụng,12000.0,Nhập khẩu,Sedan,Bạc,4 chỗ,4 cửa,"về thêm chiếc đầu tiên tại thị trường Việt Nam | ➫ Xe trang bị gói Options đặt hãng gần 2 tỷ đồng , Màu Bạc ánh Kim nội thất da 2 màu Xám Tím - | ➫ Odo chỉ . , Bank hỗ trợ vay 80% thủ tục nhanh chóng nhận xe ngay",https://bonbanh.com/xe-porsche-taycan-4s-2020-6681318,bonbanh.com,oto_dien,4199000000.0,Porsche,Taycan 4S,Không rõ,True,True
2026-02-26,Xe VinFast VF8 Plus AWD 2023,GF Thăng Long,"68 Trịnh Văn Bô, Phương Canh, Nam Từ Liêm Hà Nội",2023.0,Đã qua sử dụng,12000.0,Lắp ráp trong nước,SUV,Xám,5 chỗ,5 cửa,"Vinfast Vf8 plus 2023 xám pin catl, odo 3v3 km | Trải nghiệm VF 8 lướt - chuẩn Green Future: | - Kiểm định 139 bước nghiêm ngặt | - Ngoại thất như mới, vận hành êm ái | - Giảm giá 50tr tiền mặt cho KH Xhđ trong tháng 12/2025 | - Ưu đãi tới 70 triệu đồng khi chuyển đổi từ xe xăng sang xe điện | - Miễn phí sạc đến 30/06/2027 | - Bảo hành 10 năm | Quý khách vui lòng liên hệ GF Thăng Long để xem xe và nhận ưu đãi tốt nhất!",https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6556501,bonbanh.com,oto_dien,920000000.0,VinFast,VF8 Plus AWD,Không rõ,True,False
2026-02-26,Xe VinFast Limo Green AT 2025,Đại Việt Car,"561 Đ. Nguyễn Văn Linh, TT. Sài Đồng, Long Biên Hà Nội",2025.0,Đã qua sử dụng,12000.0,Lắp ráp trong nước,SUV,Bạc,7 chỗ,5 cửa,Limo green bạc sẵn xe và giấy tờ tại cửa hàng nối hóa đơn sang tên bấm biển được luôn | Quý khách vui lòng liên hệ xem xe để biết thêm thông tin chi tiết!,https://bonbanh.com/xe-vinfast-limo-green-at-2025-6536128,bonbanh.com,oto_dien,710000000.0,VinFast,Limo Green,Không rõ,True,False
2026-02-26,Xe VinFast VF5 Plus 2025,Vinfast Thủ Thiêm - Lương Định Của,"70 Lương Định Của, P. Bình Khánh, Tp Thủ Đức TP HCM",2025.0,Mới,0.0,Lắp ráp trong nước,SUV,Xanh,5 chỗ,5 cửa,"VinFast VF 5 Plus | Đưa trước 119 Triệu đăng ký chạy Platform | Sở hữu ngoại hình nhỏ gọn với kích thước 3.965 x 1.720 x 1.580 mm, trọng lượng không tải 1.360 kg.Pin VF 5 Plus có dung lượng khả dụng 37.23 , cho phép xe di chuyển được khoảng hơn 300 km sau 1 lần sạc đầy – theo tiêu chuẩn NEDC. Được trang bị động cơ điện công suất tối đa 100kW tương đương 134 Hp, mô men xoắn cực đại 135Nm, VF 5 Plus có khả năng tăng tốc từ 0 – 100km/h trong vòng 12s. | Liên hệ ngay nhận ngay ưu đãi!",https://bonbanh.com/xe-vinfast-vf5-plus-2025-6345040,bonbanh.com,oto_dien,509000000.0,Khác,VF5 Plus,Không rõ,True,False
2026-02-26,Xe VinFast Limo Green AT 2026,Vinfast Lê Văn Việt,"Vincom Plaza Lê Văn Việt - 50 Lê Văn Việt, Hiệp Phú, Thành Phố Thủ Đức TP HCM",2026.0,Mới,0.0,Lắp ráp trong nước,SUV,Đỏ,7 chỗ,5 cửa,"VINFAST LIMO GREEN – XE ĐIỆN TIẾT KIỆM CHI PHÍ | ƯU ĐÃI CAO TẠI TP.HCM | VinFast Limo Green là lựa chọn phù hợp cho khách hàng cần xe điện 7 chỗ vận hành ổn định, chi phí thấp, chính sách hậu mãi rõ ràng. Xe hiện có sẵn tại TP.HCM, hỗ trợ tài chính tối đa. | THÔNG TIN CHUNG | Xe mới 100%, đủ màu | Có sẵn xe tại kho, xem xe trực tiếp | Hồ sơ đơn giản – xử lý nhanh | Không cần chứng minh thu nhập | Hỗ trợ vay ngân hàng lên đến 100% | Thuế trước bạ 0 đồng | Miễn phí sạc xe theo chính sách hãng | Tặng 7,5 triệu điểm VinClub cho khách hàng khu vực TP.HCM – Bình Dương – Vũng Tàu | CHÍNH SÁCH ƯU ĐÃI | Giảm ngay 6% tiền mặt | Tặng 02 năm bảo hiểm vật chất | Hoặc giảm trực tiếp 15 triệu đồng | Bao hồ sơ ngân hàng, không phát sinh chi phí | PHỤ KIỆN GIAO CÙNG XE | Phim cách nhiệt 3M chính hãng, bảo hành 10 năm | Lót sàn cao cấp | Camera hành trình | Bình chữa cháy | Búa thoát hiểm | Nước hoa xe | Bóp đựng hồ sơ | Phụ kiện nhập khẩu theo chương trình | Tặng Bảo hiểm TNDS & vật chất | Bảo hành xe 7 năm – Pin 8 năm | HỖ TRỢ XE BIỂN VÀNG | Đăng ký hợp tác xã miễn phí 7 năm | Miễn phí lắp đặt hộp đen | Tặng phù hiệu hợp tác xã | Cứu hộ 24/7 toàn quốc | HỖ TRỢ TÀI CHÍNH | Trả trước 0 đồng | Vay ngân hàng tối đa 100% | Bao hồ sơ khó | Giao xe tận nhà | Hỗ trợ đăng ký – đăng kiểm | Liên hệ ngay để nhận báo giá và hình xe thực tế",https://bonbanh.com/xe-vinfast-limo-green-at-2026-6611877,bonbanh.com,oto_dien,677000000.0,Khác,Khác,Không rõ,True,False
2026-02-26,Xe VinFast VF5 Plus 2025,Vinfast Lê Văn Việt,"Vincom Plaza Lê Văn Việt - 50 Lê Văn Việt, Hiệp Phú, Thành Phố Thủ Đức TP HCM",2025.0,Mới,0.0,Lắp ráp trong nước,SUV,Xanh,5 chỗ,5 cửa,"VINFAST VF5 – XE SẴN TẠI TP.HCM | GIÁ ƯU ĐÃI – GIAO NGAY | VinFast VF5 phiên bản mới – xe điện đô thị nhỏ gọn, tiết kiệm chi phí, phù hợp chạy cá nhân & dịch vụ. | Xe sẵn đủ màu, giao ngay tại TP.HCM. | GIÁ ƯU ĐÃI THÁNG NÀY | Hỗ trợ giữ xe theo màu – nhận xe nhanh trong ngày | CHƯƠNG TRÌNH KHUYẾN MÃI ĐẶC BIỆT | ✔ Giảm trực tiếp 6% vào giá xe | ✔ Giảm thêm 15 triệu cho khách ký hợp đồng trong tháng | ✔ Miễn 100% thuế trước bạ (theo chính sách hiện hành) | ✔ Miễn phí sạc xe 36 tháng | ✔ Gửi xe miễn phí theo chương trình | ✔ Tặng 10 triệu điểm VinClub (áp dụng khu vực TP.HCM – Bình Dương – Vũng Tàu) | ✔ Bảo hành xe 7 năm hoặc 160.000 km | ✔ Pin bảo hành 8 năm – yên tâm sử dụng lâu dài | TẶNG COMBO 27 PHỤ KIỆN CHÍNH HÃNG | ✔ Dán phim cách nhiệt 3M chính hãng – bảo hành 10 năm | ✔ Lót sàn cao cấp, camera hành trình | ✔ Bình chữa cháy, búa thoát hiểm, nước hoa xe | ✔ Phụ kiện nhập khẩu (tùy chương trình từng thời điểm) | ✔ Tặng bảo hiểm vật chất + TNDS (áp dụng theo chính sách) | HỖ TRỢ CHẠY DỊCH VỤ – BIỂN VÀNG | ✔ Đăng ký hợp tác xã biển vàng miễn phí 7 năm | ✔ Miễn phí lắp đặt hộp đen | ✔ Tặng phù hiệu HTX | ✔ Cứu hộ 24/7 toàn quốc | HỖ TRỢ MUA XE TRẢ GÓP | ✔ Trả trước 0 đồng | ✔ Vay ngân hàng lên đến 100% giá trị xe | ✔ Hỗ trợ chứng minh thu nhập – bao hồ sơ khó | ✔ Giao xe tận nhà – hỗ trợ đăng ký, đăng kiểm trọn gói | LIÊN HỆ NGAY để: | Nhận báo giá chính xác theo từng màu xe | Giữ xe trong ngày – ưu đãi có hạn | Xem xe trực tiếp tại showroom TP.HCM | Inbox hoặc gọi ngay – số lượng xe ưu đãi không nhiều.",https://bonbanh.com/xe-vinfast-vf5-plus-2025-6611118,bonbanh.com,oto_dien,462000000.0,Khác,Khác,Không rõ,True,False
2026-02-26,Xe VinFast VF9 Plus 2026,Vinfast Lê Văn Việt,"Vincom Plaza Lê Văn Việt - 50 Lê Văn Việt, Hiệp Phú, Thành Phố Thủ Đức TP HCM",2026.0,Mới,0.0,Lắp ráp trong nước,SUV,Đen,7 chỗ,5 cửa,"VINFAST VF9 – ƯU ĐÃI KHỦNG GIẢM ĐẾN 315 TRIỆU | GIAO XE NGAY | Chương trình khuyến mại lớn nhất trong tháng - Số lượng có hạn | Ưu đãi tài chính đặc biệt | ✓ Giảm tổng lên đến 315 triệu đồng cho khách hàng mua xe | ✓ Giảm thẳng 10% giá xe (áp dụng theo chương trình VinFast) | ✓ Tặng thêm 50 triệu tiền mặt cho khách mua xe trong tháng | ✓ Miễn 100% lệ phí trước bạ năm 2025 | ✓ Miễn phí sạc xe theo chính sách hãng | ✓ Gửi xe miễn phí tại các điểm áp dụng | ✓ Tặng 70 triệu điểm VinClub | (Áp dụng khách hàng TP.HCM – Vũng Tàu – Bình Dương) | ✓ Bảo hành xe 10 năm – Pin 10 năm (an tâm sử dụng lâu dài) | ✓ Ưu đãi lãi suất đặc biệt khi mua xe trả góp | TẶNG NGAY GÓI PHỤ KIỆN CHÍNH HÃNG CAO CẤP | Dán phim cách nhiệt 3M chính hãng – bảo hành 10 năm | Lót sàn cao cấp + Camera hành trình | Combo quà tặng: nước hoa xe, bình chữa cháy, búa thoát hiểm, bóp hồ sơ… | Phụ kiện nhập khẩu (tùy chương trình từng thời điểm) | Cứu hộ miễn phí 24/7 trên toàn quốc | HỖ TRỢ MUA XE TRẢ GÓP – THỦ TỤC NHANH | ✓ Hỗ trợ vay lên tới 80% giá trị xe | ✓ Hỗ trợ chứng minh thu nhập – bao hồ sơ khó | ✓ Giao xe tận nhà toàn quốc | ✓ Hỗ trợ đăng ký – đăng kiểm – ra biển số trọn gói | ✓ Cứu hộ miễn phí 24/7 | LIÊN HỆ NGAY HOẶC ĐỂ LẠI TIN NHẮN | Nhận báo giá chi tiết – hình xe thực tế – ưu đãi mới nhất trong ngày | Cam kết giá tốt – xe sẵn – thủ tục nhanh – hỗ trợ tận tâm",https://bonbanh.com/xe-vinfast-vf9-plus-2026-6614121,bonbanh.com,oto_dien,1454000000.0,VinFast,VF9 Plus,Không rõ,True,False
2026-02-26,Xe VinFast VF8 Plus AWD 2025,VinFast Smart City,"Vinhomes Smart City, Tây Mỗ , Nam Từ Liêm Hà Nội",2025.0,Mới,0.0,Lắp ráp trong nước,SUV,Đen,5 chỗ,5 cửa,"Vinfast VF8 (VF E35) 2025 | Xe điện mới 100% | Bán xe VinFast VF8 Plus | Kích thước tổng thể (DxRxC) (mm): 4.750 x 1.934 x 1.667 | Chiều dài cơ sở (mm): 2.950 | - Trang bị: bộ mâm 5 chấu kép kích thước 19 inch bọc trong bộ lốp Pirelli 255/40R19, tay nắm cửa đồng màu thân xe, gương chiếu hậu tích hợp sấy và camera, các thông tin về xe sẽ được hiển thị trên kính lái HUD như: tốc độ, dung lượng pin, các thông tin về xe sẽ được hiển thị trên kính lái HUD như: tốc độ, dung lượng pin, điều hòa tự động 2 vùng với cửa gió điều hòa cho hàng ghế sau, bơm nhiệt, chức năng kiểm soát chất lượng không khí, lọc không",https://bonbanh.com/xe-vinfast-vf8-plus-awd-2025-5133186,bonbanh.com,oto_dien,1001000000.0,Khác,Khác,Không rõ,True,False
2026-02-26,Xe VinFast VF6 Plus 2024,Mr Tuấn,8 Trịnh Hoài Đức TP HCM,2024.0,Đã qua sử dụng,40000.0,Lắp ráp trong nước,SUV,Trắng,5 chỗ,5 cửa,"VF 6 Plus Nâng Cao - Mua Pin | - Xe đi chỉ 40.000km | - Xe sx 2024 | - Có bớt lộc anh chị thiện chí | - Có trả góp qua bank | Đã lên trang bị thêm: Cốp điện, đèn viền nội thất, cam hành trình, dán phim, lót sàn, lót cốp | ✓ Bao check test toàn quốc | ✓️ Chuẩn chỉnh giấy tờ công chứng, rút gốc, sang tên | Cam kết chất lượng: | Động cơ- hộp số nguyên bản từ nhà sản xuất. | Không đâm đụng ảnh hưởng đến kết cấu khung gầm. | Không ngập nước, không thủy kích. | _",https://bonbanh.com/xe-vinfast-vf6-plus-2024-6661849,bonbanh.com,oto_dien,610000000.0,Khác,VF6 Plus,Không rõ,True,True
2026-02-26,Xe BMW iX3 M Sport 2023,Vũ Thị Hồng Vân,"Số 1 Ngô Gia Tự, Bồ Đề, Hà Nội Hà Nội Xem gian hàng  ⇨",2023.0,Mới,0.0,Nhập khẩu,SUV,Trắng,5 chỗ,5 cửa,"BMW iX3 eDrive MSport thuần điện. | - động cơ điện eDrive thế hệ thứ 5, sản sinh công suất 286 mã lực. | - xe tăng tốc từ 0-100 km/h chỉ trong 6.8 giây, mang lại cảm giác lái phấn khích và linh hoạt. | - hệ dẫn động cầu sau và trọng tâm xe được hạ thấp, giúp xe vào cua ổn định và mang lại trải nghiệm lái thể thao đặc trưng của BMW. | - pin lithium-ion dung lượng 80 kWh (sử dụng thực tế khoảng 74-75 kWh). | - phạm vi hoạt động 500 km sau mỗi lần sạc đầy theo tiêu chuẩn WLTP. | Liên hệ em để lái thử trải nghiệm và hỗ trợ tư vấn xe cũng như chính sách tốt nhất",https://bonbanh.com/xe-bmw-ix3-m-sport-2023-6642962,bonbanh.com,oto_dien,2425000000.0,Khác,Khác,80 kWh (sử dụng thực tế khoảng 74-75 kWh),True,False
